Anatomical.entity.ID	Anatomical.entity.name
UBERON:0002548	larva
UBERON:0007023	adult organism
UBERON:0019248	early embryo
UBERON:0000323	late embryo
UBERON:0000922	embryo
UBERON:0000468	multi-cellular organism
UBERON:0019251	4-cell stage embryo
WBbt:0005451	pharyngeal muscle cell
UBERON:6003007	insect adult head
UBERON:0001045	midgut
UBERON:0000992	ovary
UBERON:0001046	hindgut
UBERON:0001054	Malpighian tubule
UBERON:0000473	testis
UBERON:6001919	embryonic/larval central nervous system
UBERON:0003917	arthropod fat body
UBERON:0001044	saliva-secreting gland
UBERON:0003127	open tracheal system trachea
UBERON:0005399	male reproductive gland
UBERON:0000955	brain
UBERON:0009854	digestive tract diverticulum
UBERON:0000018	compound eye
UBERON:0003339	ganglion of central nervous system
UBERON:0000994	spermathecum
UBERON:0003143	pupa
UBERON:0013765	digestive system element
UBERON:0000939	imaginal disc
UBERON:0001017	central nervous system
UBERON:0000992	female gonad
UBERON:0006868	seminal fluid secreting gland
UBERON:0003142	prepupa
UBERON:0004734	gastrula
FBbt:00001669	primary lobe of embryonic/larval lymph gland
UBERON:0000474	female reproductive system
UBERON:0000079	male reproductive system
UBERON:0004455	neurula embryo
UBERON:0000307	blastula
UBERON:0012473	oral cirrus
CL:0000025	egg cell
UBERON:0001003	skin epidermis
UBERON:0008815	pharyngeal slit
UBERON:0001555	digestive tract
UBERON:0012474	hepatic cecum
UBERON:0002385	muscle tissue
UBERON:0005054	primary dorsal nerve cord
UBERON:0000080	mesonephros
UBERON:0000152	pelvic fin
UBERON:0000151	pectoral fin
UBERON:0001042	chordate pharynx
UBERON:0000206	pharyngeal gill
UBERON:0003665	post-anal tail muscle
UBERON:0002107	liver
UBERON:0000019	camera-type eye
UBERON:0000948	heart
UBERON:0000014	zone of skin
UBERON:0001474	bone element
UBERON:0000160	intestine
UBERON:0006860	swim bladder
UBERON:0007021	sexually immature organism
UBERON:0007132	head kidney
UBERON:0000033	head
UBERON:0002415	tail
CL:0000094	granulocyte
UBERON:0000966	retina
UBERON:0003982	mature ovarian follicle
UBERON:0002106	spleen
UBERON:0001997	olfactory epithelium
UBERON:0000004	nose
UBERON:0000945	stomach
UBERON:4300174	actinopterygian pyloric caecum
UBERON:0001968	semen
UBERON:0005057	immune organ
CL:0000365	zygote
UBERON:4000164	caudal fin
CL:0000365	animal zygote
UBERON:4000163	anal fin
UBERON:0001846	internal ear
UBERON:0002113	kidney
UBERON:0002048	lung
UBERON:0001264	pancreas
CL:0000023	oocyte
UBERON:0019249	2-cell stage embryo
UBERON:0007233	4-cell stage embryo
UBERON:0001134	skeletal muscle tissue
CL:0000025	egg
UBERON:0002037	cerebellum
CL:0000492	CD4-positive helper T cell
CL:0000625	CD8-positive, alpha-beta T cell
UBERON:0001280	liver parenchyma
UBERON:0001155	colon
UBERON:0001905	pineal body
UBERON:0000956	cerebral cortex
UBERON:0002116	ileum
UBERON:0001013	adipose tissue
CL:0000017	spermatocyte
CL:0000018	spermatid
UBERON:0002381	pectoralis major
UBERON:0002370	thymus
UBERON:0005052	gizzard
UBERON:0000376	hindlimb stylopod
UBERON:0007357	proventriculus
UBERON:0002115	jejunum
UBERON:0002114	duodenum
UBERON:0013478	cecal tonsil
UBERON:0003903	bursa of Fabricius
UBERON:0000310	breast
UBERON:0000991	gonad
UBERON:0000082	adult mammalian kidney
CL:0000057	fibroblast
UBERON:0001295	endometrium
UBERON:0003663	hindlimb muscle
UBERON:0000087	inner cell mass
UBERON:0005386	olfactory segment of nasal mucosa
UBERON:0001870	frontal cortex
UBERON:0002371	bone marrow
UBERON:0002812	left cerebral hemisphere
UBERON:0000007	pituitary gland
UBERON:0002813	right cerebral hemisphere
UBERON:0000029	lymph node
UBERON:0000178	blood
UBERON:0001347	white adipose tissue
UBERON:0010533	metanephros cortex
UBERON:0002369	adrenal gland
UBERON:0001155	heart
UBERON:0002046	thyroid gland
UBERON:0001871	temporal lobe
UBERON:0001890	forebrain
UBERON:0002028	hindbrain
UBERON:0000451	prefrontal cortex
UBERON:0001377	quadriceps femoris
UBERON:0002129	cerebellar cortex
UBERON:0004252	hindlimb stylopod muscle
UBERON:0001225	cortex of kidney
UBERON:0002661	superior frontal gyrus
UBERON:0002436	primary visual cortex
UBERON:0002264	olfactory bulb
UBERON:0002702	middle frontal gyrus
UBERON:0002998	inferior frontal gyrus
UBERON:0034671	arcuate sulcus
UBERON:0002570	medial orbital gyrus
UBERON:0002691	ventral tegmental area
UBERON:0002038	substantia nigra
UBERON:0001891	midbrain
UBERON:0001876	amygdala
UBERON:0001885	dentate gyrus of hippocampal formation
UBERON:0003881	CA1 field of hippocampus
UBERON:0003883	CA3 field of hippocampus
UBERON:0001882	nucleus accumbens
UBERON:0002751	inferior temporal gyrus
UBERON:0002769	superior temporal gyrus
UBERON:0016538	temporal cortex
UBERON:0002421	hippocampal formation
UBERON:0002766	fusiform gyrus
UBERON:0002973	parahippocampal gyrus
UBERON:0002943	lingual gyrus
UBERON:0002740	posterior cingulate gyrus
UBERON:0002756	anterior cingulate gyrus
UBERON:0002336	corpus callosum
UBERON:0004703	dorsal thalamus
UBERON:0001898	hypothalamus
UBERON:0002581	postcentral gyrus
UBERON:0006094	superior parietal cortex
UBERON:0002913	intraparietal sulcus
UBERON:0002686	angular gyrus
UBERON:0026137	annectant gyrus
UBERON:0006092	cuneus cortex
UBERON:0001896	medulla oblongata
UBERON:0000988	pons
UBERON:0004720	cerebellar vermis
UBERON:0001873	caudate nucleus
UBERON:0001874	putamen
UBERON:0001875	globus pallidus
UBERON:0002948	superior occipital gyrus
UBERON:0014608	inferior occipital gyrus
UBERON:0002021	occipital lobe
UBERON:0002022	insula
UBERON:0002703	precentral gyrus
UBERON:0009834	dorsolateral prefrontal cortex
UBERON:0001236	adrenal medulla
UBERON:0001235	adrenal cortex
UBERON:0001165	pyloric antrum
UBERON:0000947	aorta
UBERON:0001932	arcuate nucleus of hypothalamus
UBERON:0001156	ascending colon
UBERON:0001097	axillary lymph node
UBERON:0001255	urinary bladder
UBERON:0001153	caecum
UBERON:0000964	cornea
UBERON:0001158	descending colon
UBERON:0001934	dorsomedial nucleus of hypothalamus
UBERON:0001904	habenula
UBERON:0001954	Ammon's horn
UBERON:0001769	iris
UBERON:0000362	renal medulla
UBERON:0002476	lateral globus pallidus
UBERON:0001937	lateral hypothalamic nucleus
UBERON:0002509	mesenteric lymph node
UBERON:0002477	medial globus pallidus
UBERON:0002206	mammillary body
UBERON:0003833	abdominal segment muscle
UBERON:0001388	gastrocnemius
UBERON:0001043	esophagus
UBERON:0010414	omental fat pad
UBERON:0001783	optic disc
UBERON:0001928	preoptic area
UBERON:0002367	prostate gland
UBERON:0001920	paraventricular nucleus of thalamus
UBERON:0001782	pigmented layer of retina
UBERON:0002034	suprachiasmatic nucleus
UBERON:0001135	smooth muscle tissue
UBERON:0001929	supraoptic nucleus
UBERON:0001160	fundus of stomach
UBERON:0000411	visual cortex
UBERON:0001935	ventromedial nucleus of hypothalamus
UBERON:0015143	mesenteric fat pad
UBERON:0035814	pericardial fat
UBERON:0005406	perirenal fat
UBERON:0002190	subcutaneous adipose tissue
UBERON:0004922	postnatal subventricular zone
UBERON:0001416	skin of abdomen
UBERON:0016634	premotor cortex
UBERON:0009835	anterior cingulate cortex
UBERON:0002435	striatum
UBERON:0001987	placenta
UBERON:0013541	Brodmann (1909) area 10
UBERON:0001868	skin of chest
UBERON:0005200	thoracic mammary gland
CL:0000738	leukocyte
