gene,p-value,parental difference (B6-DBA)
Affy_10338001,0.32814715,-0.176
Affy_10338002,0.090916623,-0.314
Affy_10338003,0.33814991,-0.242
Affy_10338004,0.96003726,0.014
Affy_10338005,0.69040922,0.037
Affy_10338006,0.86813446,0.014
Affy_10338007,0.63077032,-0.036
Affy_10338008,0.19333784,-0.172
Affy_10338009,0.15020829,-0.289
Affy_10338010,1,0
Affy_10338011,0.17642629,-0.237
Affy_10338012,0.99051255,0.001
Affy_10338013,0.8842025,0.014
Affy_10338014,0.67880326,0.039
Affy_10338015,0.70213385,0.041
Affy_10338016,0.088509087,-0.325
Affy_10338017,0.8032458,0.056
Affy_10338018,0.15244862,-0.289
Affy_10338019,0.22510621,-0.238
Affy_10338020,0.10992906,-0.352
Affy_10338021,0.99007276,-0.001
Affy_10338022,0.90029497,0.01
Affy_10338023,0.49131195,-0.062
Affy_10338024,0.095938106,-0.329
Affy_10338025,0.86902277,-0.046
Affy_10338026,0.88332705,-0.021
Affy_10338027,0.071283057,-0.348
Affy_10338028,0.22971634,-0.173
Affy_10338029,0.72847806,-0.117
Affy_10338030,0.6424178,0.046
Affy_10338031,0.69745,0.037
Affy_10338032,0.65079999,0.043
Affy_10338033,0.071908787,-0.35
Affy_10338034,0.095182746,-0.133
Affy_10338035,0.54995024,-0.138
Affy_10338036,0.75595387,0.099
Affy_10338037,0.24474775,-0.158
Affy_10338038,0.82659703,0.042
Affy_10338039,0.10009135,-0.375
Affy_10338040,0.12605033,-0.227
Affy_10338041,0.77753925,0.09
Affy_10338042,0.79663327,-0.079
Affy_10338043,0.73756956,0.034
Affy_10338044,0.94116988,-0.016
Affy_10338045,0.32295836,-0.23
Affy_10338046,0.24087615,-0.131
Affy_10338047,0.41806326,-0.282
Affy_10338048,0.65918271,-0.037
Affy_10338049,0.12550998,-0.295
Affy_10338050,0.99237245,0.001
Affy_10338051,0.13648925,-0.302
Affy_10338052,0.86391063,0.013
Affy_10338053,0.13867819,-0.293
Affy_10338054,0.14319149,-0.249
Affy_10338055,0.094926257,-0.307
Affy_10338056,0.20317893,-0.046
Affy_10338057,0.69005861,0.033
Affy_10338058,0.96855485,0.006
Affy_10338059,0.15946477,-0.163
Affy_10338060,0.5337323,-0.093
Affy_10338061,0.10306539,-0.32
Affy_10338062,0.11640544,-0.32
Affy_10338064,0.53558195,-0.284
Affy_10338065,0.49104194,-0.298
Affy_10338066,0.56011217,-0.163
Affy_10338067,0.50456265,-0.287
Affy_10338068,0.76333825,-0.118
Affy_10338069,0.30453291,0.78
Affy_10338070,0.61126774,0.213
Affy_10338071,0.00453138,1.121
Affy_10338072,0.2413526,-0.509
Affy_10338073,0.56455952,-0.334
Affy_10338074,0.83526043,-0.06
Affy_10338075,0.96070155,0.017
Affy_10338076,0.78857296,0.098
Nmt1,0.48850402,0.122
