target,gene,p-value,parental difference (B6-DBA)
1415670_at,Copg,0.97858667,-0.0038
1415671_at,Atp6v0d1,0.92780631,-0.0124
1415672_at,Golga7,0.33237979,0.1432
1415673_at,Psph,0.67821982,0.0792
1415674_a_at,Trappc4,0.76628365,-0.0402
1415675_at,Dpm2,0.57784014,-0.0698
1415676_a_at,Psmb5,0.62426148,-0.0576
1415677_at,Dhrs1,0.33551658,-0.1232
1415678_at,Ppm1a,0.71532522,0.0424
1415679_at,Psenen,0.46917517,0.1938
1415680_at,Anapc1,0.66160928,-0.0588
1415681_at,Mrpl43,0.35897113,-0.1048
1415682_at,Xpo7,0.47638668,-0.109
1415683_at,Nmt1,0.50672099,-0.0848
1415684_at,Atg5,0.4853391,-0.1202
1415685_at,Mtif2,0.26941114,0.7054
1415686_at,Rab14,0.50747373,0.1102
1415687_a_at,Psap,0.77982105,-0.1744
1415688_at,Ube2g1,0.58077072,0.0982
1415689_s_at,Zkscan3,0.16008919,-0.22
1415690_at,Mrp127,0.61348849,-0.0734
1415691_at,Dlg1,0.54024789,0.0672
1415692_s_at,Canx,0.98553927,-0.0024
1415693_at,Derl1,0.89916604,-0.0158
1415694_at,Wars,0.21161895,1.3772
1415695_at,Psma1,0.87335909,0.0216
1415696_at,Sar1a,0.64631813,-0.0434
1415697_at,G3bp2,0.31548002,0.2394
1415698_at,Golm1,0.94028853,0.0108
1415699_a_at,Gps1,0.41813741,-0.1258
1415700_a_at,Ssr3,0.94658633,-0.0068
1415701_x_at,Rpl23,0.39569149,-0.1046
1415702_a_at,Ctbp1,0.88333421,0.0216
1415703_at,Huwe1,0.98795035,0.0038
1415704_a_at,Cdv3,0.76291249,-0.0488
1415705_at,Smim7,0.66408314,0.0552
1415706_at,Copa,0.48315689,0.1136
1415707_at,Anapc2,0.39581399,-0.0958
1415708_at,Tug1,0.95925201,0.0094
1415709_s_at,Gbf1,0.82267036,0.0422
1415710_at,Cox18,0.10877921,-0.6108
1415711_at,Arfgef1,0.66705128,-0.0422
1415712_at,Zranb1,0.39271507,-0.2774
1415713_a_at,Ddx24,0.44194285,-0.0872
1415714_a_at,Snrnp27,0.30347113,-0.1488
1415715_at,Slbp,0.34216059,-0.1444
1415716_a_at,Rps27,0.11305035,-0.3248
1415717_at,Rnf220,0.4723612,0.1026
1415718_at,Sap30l,0.40207384,-0.2036
1415719_s_at,Armc1,0.36441455,0.16
1415720_s_at,Mad2l1bp,0.69516827,-0.059
1415721_a_at,Naa60,0.57498339,-0.075
1415722_a_at,Vta1,0.83297818,0.0268
1415723_at,Eif5,0.66903361,0.0846
1415724_a_at,Cdc42,0.081166719,0.173
1415725_at,Rrn3,0.94455077,-0.0086
1415726_at,Ankrd17,0.54669928,0.0812
1415727_at,Apoa1bp,0.33605806,-0.1248
1415728_at,Pabpn1,0.83052085,-0.047
1415729_at,Pdpk1,0.98769163,-0.002
1415730_at,Cpsf7,0.79104198,0.0404
1415731_at,Angel2,0.35245488,-0.0916
1415732_at,Abhd16a,0.83029728,-0.036
1415733_a_at,Shb,0.39471685,-0.121
1415734_at,Rab7,0.36732774,0.1136
1415735_at,Ddb1,0.33735577,-0.1478
1415736_at,Pfdn5,0.67341273,-0.062
1415737_at,Rfk,0.21531592,-0.4532
1415738_at,Txndc12,0.35502078,-0.1396
1415739_at,Rbm42,0.62157393,0.1378
1415740_at,Psmc5,0.99862472,0.0002
1415741_at,Tmem165,0.67299074,-0.041
1415742_at,Aup1,0.76783826,-0.0492
1415743_at,Hdac5,0.9555724,-0.016
1415744_at,Pfdn6,0.26093894,-0.1864
1415745_a_at,Dscr3,0.53118042,-0.0926
1415746_at,Cic,0.77885727,-0.0552
1415747_s_at,Riok3,0.66890833,-0.0702
1415748_a_at,Dctn5,0.61322308,-0.0518
1415749_a_at,Rragc,0.5774372,-0.0564
1415750_at,Tbl3,0.83827496,-0.036
1415751_at,Hb1bp3,0.38776531,0.1832
1415752_at,C18orf32,0.36337539,-0.1564
1415753_at,Fam108a,0.85321382,0.0394
1415754_at,Polr2f,0.62289086,0.0778
1415755_a_at,Ube2v1,0.88530776,-0.016
1415756_a_at,Snapap,0.807319,0.0402
1415757_at,Gbf1,0.87614846,0.0388
1415758_at,Fryl,0.13153609,0.1786
1415759_a_at,Hbxip,0.87412911,-0.0172
1415760_s_at,Atox1,0.7665795,-0.0578
1415761_at,Mrpl52,0.38909613,-0.2152
1415762_x_at,Mrpl52,0.33699539,-0.2012
1415763_a_at,Tmem234,0.63672112,0.173
1415764_at,Cpsf7,0.62240703,0.0648
1415765_at,Hnrpul2,0.29957349,0.182
1415766_at,Sec22l1,0.28080302,-0.129
1415767_at,Ythdf1,0.55270266,0.0778
1415768_a_at,Ube2r2,0.89236327,0.0194
1415769_at,Itch,0.42123693,0.138
1415770_at,Wdr6,0.43243347,-0.2616
1415771_at,Ncl,0.53146759,0.154
1415772_at,Ncl,0.73960991,-0.0602
1415773_at,Ncl,0.39458013,0.2802
1415774_at,Statip1,0.15887095,-0.179
1415775_at,Rbbp7,0.97411998,0.0046
1415776_at,Aldh3a2,0.29628865,-0.1204
1415777_at,Pnliprp1,0.77718455,0.0564
1415778_at,Morf4l2,0.97667033,-0.0038
1415779_s_at,Actg1,0.44145312,-0.076
1415780_a_at,Armcx2,0.83332595,-0.0356
1415781_a_at,Sumo2,0.72983201,-0.0466
1415782_at,Sumo2,0.73523036,-0.0352
1415783_at,Vps35,0.75563156,-0.0388
1415784_at,Vps35,0.67156494,0.1376
1415785_a_at,Cct8,0.80738819,0.0408
1415786_at,Pgc,0.96664344,0.009
1415787_at,Ganab,0.92155381,-0.0136
1415788_at,Ublcp1,0.65428621,0.0634
1415789_a_at,LOC665689,0.92995417,-0.0192
1415790_at,Ublcp1,0.34784591,0.1518
1415791_at,Rnf34,0.47249835,-0.0824
1415792_at,Rbck1,0.88724459,-0.0302
1415793_at,Pnpo,0.099920518,-0.2734
1415794_a_at,Spin1,0.83604984,-0.0226
1415795_at,Spin1,0.39999713,0.229
1415796_at,Dazap2,0.7017412,0.0332
1415797_at,Ddr1,0.58746642,0.1114
1415798_at,Ddr1,0.80503747,0.0802
1415799_at,Wbp11,0.66195647,-0.095
1415800_at,Gja1,0.23995349,-0.1924
1415801_at,Gja1,0.79330629,0.0744
1415802_at,Slc16a1,0.9883841,-0.0028
1415803_at,Cx3cl1,0.72110361,0.102
1415804_at,Cx3cl1,0.83504416,0.0566
1415805_at,Clps,0.55766442,-0.098
1415806_at,Plat,0.3019044,0.265
1415807_s_at,Sfrs2,0.46629404,-0.236
1415808_at,Tpbpa,0.60932604,-0.0896
1415809_at,Tpbpa,0.41068894,-0.1572
1415810_at,Uhrf1,0.85276011,-0.0566
1415811_at,Uhrf1,0.77476458,0.044
1415812_at,Gsn,0.55727247,0.1954
1415813_at,Api5,0.80782558,0.0376
1415814_at,Atp6v1b2,0.75250448,-0.052
1415815_at,Trim27,0.90449318,-0.0234
1415816_at,Cct7,0.80141863,-0.0262
1415817_s_at,Cct7,0.84540876,0.0254
1415818_at,Anxa6,0.3550241,0.1732
1415819_a_at,Ppp2r1a,0.70829392,-0.0366
1415820_x_at,Nono,0.95040961,-0.0072
1415821_at,Nptn,0.58121934,0.071
1415822_at,Scd2,0.62459883,0.0622
1415823_at,Scd2,0.36304266,0.197
1415824_at,Scd2,0.24999219,0.4056
1415825_s_at,Csnk1d,0.94126766,0.0128
1415826_at,Atp6v1h,0.3919312,0.117
1415827_a_at,D3Ucla1,0.86922773,-0.0256
1415828_a_at,Serp1,0.85749455,0.043
1415829_at,Lbr,0.56076503,0.0984
1415830_at,Orc5l,0.40921735,-0.1554
1415831_at,Psmd2,0.35565585,-0.0744
1415832_at,Agtr2,0.91437214,-0.0204
1415833_x_at,Rps29,0.60438097,-0.044
