trait	nbr_taxa_pop	nbr_taxa_phy	var_within	var_between	ratio	ratio_pv	method	dataset
Orthogroup_13356	19	19	759.3806	2039.2933	2.6855	1.0000	Bayesian	kidney
Orthogroup_6635	22	22	96416.1814	467417.0225	4.8479	1.0000	Bayesian	liver
Orthogroup_3088	17	17	1474.5754	6417.3636	4.3520	1.0000	Bayesian	testis
Orthogroup_15216	19	19	250.3779	877.0726	3.5030	1.0000	Bayesian	kidney
Orthogroup_7877	19	19	11133.5437	33940.0514	3.0485	1.0000	Bayesian	kidney
Orthogroup_100	19	19	7961.5130	27715.8408	3.4812	1.0000	Bayesian	kidney
Orthogroup_19530	17	17	11664.9754	79405.0759	6.8071	1.0000	Bayesian	testis
Orthogroup_7561	22	22	2607.7590	34546.9129	13.2477	1.0000	Bayesian	liver
Orthogroup_7562	22	22	45556.5232	92110.7795	2.0219	1.0000	Bayesian	liver
Orthogroup_7943	19	19	233.7084	766.0239	3.2777	1.0000	Bayesian	kidney
Orthogroup_4374	17	17	606.7384	12551.3727	20.6866	1.0000	Bayesian	testis
Orthogroup_8137	19	19	185.4084	1431.9685	7.7233	1.0000	Bayesian	kidney
Orthogroup_5314	17	17	245.5147	1303.5971	5.3097	1.0000	Bayesian	testis
Orthogroup_13308	19	19	1838.1729	10803.7614	5.8774	1.0000	Bayesian	cerebellum
Orthogroup_5496	17	17	28371.8358	541471.6934	19.0848	1.0000	Bayesian	testis
Orthogroup_12689	19	19	12571.9908	24144.6691	1.9205	1.0000	Bayesian	cerebellum
Orthogroup_8271	19	19	3204.1319	6404.6147	1.9989	1.0000	Bayesian	kidney
Orthogroup_7764	19	19	245948.2036	595156.3699	2.4198	1.0000	Bayesian	kidney
Orthogroup_1882	19	19	83.0078	4661.4198	56.1564	1.0000	Bayesian	kidney
Orthogroup_12153	19	19	164356.6822	378167.2563	2.3009	1.0000	Bayesian	cerebellum
Orthogroup_7581	19	19	562.7341	41728.6534	74.1534	1.0000	Bayesian	kidney
Orthogroup_1513	22	22	1419.8166	370076.0980	260.6506	1.0000	Bayesian	liver
Orthogroup_6187	19	19	1828.1626	5092.1729	2.7854	1.0000	Bayesian	kidney
Orthogroup_6223	19	19	2174.3292	7971.0243	3.6660	1.0000	Bayesian	kidney
