Orthogroups,Ornithorhynchus_anatinus,Callithrix_jacchus,Cercocebus_atys,Macaca_fascicularis,Macaca_mulatta,Macaca_nemestrina,Papio_anubis,Gorilla_gorilla,Pan_paniscus,Pan_troglodytes,Homo_sapiens,Canis_lupus_familiaris,Felis_catus,Equus_caballus,Sus_scrofa,Bos_taurus,Capra_hircus,Ovis_aries,Manis_javanica,Oryctolagus_cuniculus,Mus_musculus,Rattus_norvegicus,Cavia_porcellus,Heterocephalus_glaber,Monodelphis_domestica,Microcebus_murinus,Chlorocebus_sabaeus
Orthogroup_1,ENSOANG00000029704,ENSCJAG00000004595,ENSCATG00000039585,ENSMFAG00000000665,ENSMMUG00000014635,ENSMNEG00000042618,ENSPANG00000015735,ENSGGOG00000034876,ENSPPAG00000037662,ENSPTRG00000018521,ENSG00000111816,ENSCAFG00000004055,ENSFCAG00000004043,ENSECAG00000018039,ENSSSCG00000004434,ENSBTAG00000020018,ENSCHIG00000006701,ENSOARG00000009426,108394524,ENSOCUG00000001181,ENSMUSG00000019779,ENSRNOG00000000543,ENSCPOG00000006954,ENSHGLG00100010020,ENSMODG00000017852,NA,ENSCSAG00000015700
Orthogroup_2,ENSOANG00000001608,ENSCJAG00000018501,ENSCATG00000038482,ENSMFAG00000035977,ENSMMUG00000015339,ENSMNEG00000034236,ENSPANG00000020883,ENSGGOG00000010254,ENSPPAG00000029617,ENSPTRG00000002928,ENSG00000120051,ENSCAFG00000010608,ENSFCAG00000006024,ENSECAG00000019301,ENSSSCG00000010614,ENSBTAG00000007243,ENSCHIG00000016727,ENSOARG00000007753,108395711,ENSOCUG00000008719,ENSMUSG00000046585,ENSRNOG00000049596,ENSCPOG00000000492,ENSHGLG00100011300,ENSMODG00000010828,ENSMICG00000016245,ENSCSAG00000005244
Orthogroup_3,ENSOANG00000014633,ENSCJAG00000009729,ENSCATG00000018109,ENSMFAG00000045167,ENSMMUG00000011752,ENSMNEG00000006799,ENSPANG00000018050,ENSGGOG00000004273,ENSPPAG00000028105,ENSPTRG00000006746,ENSG00000131323,ENSCAFG00000018075,ENSFCAG00000010003,ENSECAG00000037175,ENSSSCG00000002525,ENSBTAG00000013475,ENSCHIG00000026463,ENSOARG00000004978,108406584,ENSOCUG00000003672,ENSMUSG00000021277,ENSRNOG00000008145,ENSCPOG00000040090,ENSHGLG00100010368,ENSMODG00000013357,ENSMICG00000011793,ENSCSAG00000010146
Orthogroup_4,ENSOANG00000045062,NA,ENSCATG00000002770,ENSMFAG00000033073,ENSMMUG00000057637,ENSMNEG00000034820,ENSPANG00000006552,ENSGGOG00000001310,ENSPPAG00000037929,ENSPTRG00000016488,ENSG00000164167,ENSCAFG00000007738,ENSFCAG00000003047,ENSECAG00000021036,ENSSSCG00000035973,ENSBTAG00000014060,NA,NA,108409001,NA,ENSMUSG00000031683,ENSRNOG00000030374,ENSCPOG00000032655,ENSHGLG00100014341,ENSMODG00000039383,ENSMICG00000000571,ENSCSAG00000003421
Orthogroup_5,ENSOANG00000003898,ENSCJAG00000006218,ENSCATG00000045221,ENSMFAG00000045409,ENSMMUG00000008121,ENSMNEG00000045014,ENSPANG00000008266,ENSGGOG00000008254,ENSPPAG00000031639,ENSPTRG00000018461,ENSG00000130347,ENSCAFG00000003719,ENSFCAG00000030660,NA,ENSSSCG00000004373,ENSBTAG00000017554,ENSCHIG00000011362,ENSOARG00000011132,108409850,ENSOCUG00000013383,ENSMUSG00000019864,ENSRNOG00000000279,ENSCPOG00000007055,ENSHGLG00100019057,ENSMODG00000018024,ENSMICG00000015741,ENSCSAG00000014845
Orthogroup_6,ENSOANG00000006007,ENSCJAG00000016783,ENSCATG00000039847,ENSMFAG00000031815,ENSMMUG00000015503,ENSMNEG00000039230,ENSPANG00000021295,ENSGGOG00000024663,ENSPPAG00000029291,ENSPTRG00000002818,ENSG00000155256,ENSCAFG00000009246,NA,ENSECAG00000008070,ENSSSCG00000010528,ENSBTAG00000018564,ENSCHIG00000015749,ENSOARG00000011270,108399687,ENSOCUG00000001352,ENSMUSG00000018820,ENSRNOG00000014903,NA,ENSHGLG00100016016,ENSMODG00000003907,ENSMICG00000000197,ENSCSAG00000005827
Orthogroup_7,ENSOANG00000050718,ENSCJAG00000021385,ENSCATG00000039868,ENSMFAG00000018980,ENSMMUG00000014017,ENSMNEG00000036107,ENSPANG00000008444,ENSGGOG00000006422,ENSPPAG00000040144,ENSPTRG00000017683,ENSG00000112739,ENSCAFG00000009381,ENSFCAG00000030050,ENSECAG00000014830,ENSSSCG00000001002,ENSBTAG00000002086,ENSCHIG00000014208,ENSOARG00000000557,108383500,ENSOCUG00000000425,ENSMUSG00000021413,ENSRNOG00000016705,ENSCPOG00000004775,ENSHGLG00100001922,ENSMODG00000009756,ENSMICG00000011768,ENSCSAG00000007273
Orthogroup_8,ENSOANG00000005180,ENSCJAG00000011008,ENSCATG00000042499,ENSMFAG00000038733,ENSMMUG00000000323,ENSMNEG00000039860,ENSPANG00000010087,ENSGGOG00000009770,ENSPPAG00000039545,ENSPTRG00000033931,ENSG00000089820,ENSCAFG00000019408,ENSFCAG00000011385,ENSECAG00000023201,ENSSSCG00000012790,ENSBTAG00000047531,ENSCHIG00000000137,ENSOARG00000001509,108407472,ENSOCUG00000001107,ENSMUSG00000031389,ENSRNOG00000058545,NA,NA,ENSMODG00000011526,ENSMICG00000016246,ENSCSAG00000006854
Orthogroup_9,ENSOANG00000000369,ENSCJAG00000007096,ENSCATG00000039333,ENSMFAG00000031450,ENSMMUG00000014983,ENSMNEG00000042997,ENSPANG00000021058,ENSGGOG00000005686,ENSPPAG00000009804,NA,ENSG00000166825,ENSCAFG00000012013,ENSFCAG00000008974,NA,ENSSSCG00000001849,ENSBTAG00000016881,ENSCHIG00000010000,ENSOARG00000011841,108391657,ENSOCUG00000017659,ENSMUSG00000039062,ENSRNOG00000014610,ENSCPOG00000002499,ENSHGLG00100013465,ENSMODG00000019534,ENSMICG00000005589,ENSCSAG00000017127
Orthogroup_10,ENSOANG00000005733,ENSCJAG00000011576,ENSCATG00000032977,ENSMFAG00000035908,ENSMMUG00000005780,ENSMNEG00000042398,ENSPANG00000036030,ENSGGOG00000000112,ENSPPAG00000035469,ENSPTRG00000006735,ENSG00000197102,ENSCAFG00000017986,ENSFCAG00000008938,ENSECAG00000015929,ENSSSCG00000040738,ENSBTAG00000016598,ENSCHIG00000024295,ENSOARG00000003064,108392006,ENSOCUG00000000057,ENSMUSG00000018707,ENSRNOG00000006178,ENSCPOG00000004074,ENSHGLG00100010157,ENSMODG00000013290,ENSMICG00000016143,ENSCSAG00000010279
Orthogroup_11,ENSOANG00000013363,ENSCJAG00000018532,ENSCATG00000044905,ENSMFAG00000023157,ENSMMUG00000019278,ENSMNEG00000028084,ENSPANG00000016258,ENSGGOG00000014766,ENSPPAG00000036622,ENSPTRG00000007243,ENSG00000066933,ENSCAFG00000017645,ENSFCAG00000023404,ENSECAG00000016415,ENSSSCG00000004979,NA,ENSCHIG00000011581,ENSOARG00000018863,108384123,ENSOCUG00000017425,ENSMUSG00000039585,ENSRNOG00000011619,ENSCPOG00000005129,ENSHGLG00100015066,ENSMODG00000001934,ENSMICG00000000971,ENSCSAG00000013737
Orthogroup_12,ENSOANG00000008567,ENSCJAG00000012143,ENSCATG00000037530,ENSMFAG00000029976,ENSMMUG00000000965,ENSMNEG00000041191,ENSPANG00000023565,ENSGGOG00000011691,ENSPPAG00000029358,ENSPTRG00000019972,ENSG00000173273,ENSCAFG00000006632,ENSFCAG00000008484,ENSECAG00000007431,ENSSSCG00000015851,ENSBTAG00000001463,ENSCHIG00000007929,ENSOARG00000010142,108383803,ENSOCUG00000017773,ENSMUSG00000031529,ENSRNOG00000011625,ENSCPOG00000010040,ENSHGLG00100018150,ENSMODG00000019017,ENSMICG00000012998,ENSCSAG00000016874
Orthogroup_13,ENSOANG00000021583,ENSCJAG00000014129,ENSCATG00000035371,ENSMFAG00000000327,ENSMMUG00000008392,ENSMNEG00000028235,ENSPANG00000015062,ENSGGOG00000011226,ENSPPAG00000030121,ENSPTRG00000015853,ENSG00000125388,ENSCAFG00000014693,ENSFCAG00000023067,ENSECAG00000018979,ENSSSCG00000008694,ENSBTAG00000001505,ENSCHIG00000021914,ENSOARG00000014418,NA,ENSOCUG00000005838,ENSMUSG00000052783,ENSRNOG00000011847,ENSCPOG00000012872,ENSHGLG00100013535,ENSMODG00000003693,ENSMICG00000006863,ENSCSAG00000015830
Orthogroup_14,ENSOANG00000005507,ENSCJAG00000006533,ENSCATG00000031151,ENSMFAG00000040783,ENSMMUG00000002057,ENSMNEG00000028272,ENSPANG00000018767,ENSGGOG00000040108,ENSPPAG00000040070,ENSPTRG00000042985,ENSG00000171848,ENSCAFG00000003409,ENSFCAG00000003942,ENSECAG00000007464,ENSSSCG00000031741,ENSBTAG00000008216,ENSCHIG00000009694,ENSOARG00000015333,108390947,ENSOCUG00000005820,ENSMUSG00000020649,ENSRNOG00000054286,ENSCPOG00000008652,ENSHGLG00100007858,ENSMODG00000014763,ENSMICG00000012789,ENSCSAG00000007201
Orthogroup_15,ENSOANG00000005702,ENSCJAG00000001137,ENSCATG00000030941,ENSMFAG00000000931,ENSMMUG00000022844,ENSMNEG00000022989,ENSPANG00000018194,ENSGGOG00000022411,ENSPPAG00000027556,ENSPTRG00000012327,ENSG00000135968,ENSCAFG00000002025,ENSFCAG00000027089,ENSECAG00000003237,ENSSSCG00000008138,ENSBTAG00000016038,ENSCHIG00000007988,ENSOARG00000000336,108395436,ENSOCUG00000017849,ENSMUSG00000038039,ENSRNOG00000000823,NA,ENSHGLG00100010091,ENSMODG00000002829,ENSMICG00000007232,ENSCSAG00000017029
