ENSG	ω_lower	ω	ω_upper	ω0_lower	ω0	ω0_upper	ωA_phy	category	TR_ID_Homo_sapiens	TR_ID_Chlorocebus_sabaeus	TR_ID_Bos_taurus	TR_ID_Equus_caballus	TR_ID_Ovis_aries	TR_ID_Capra_hircus	TR_ID_Canis_familiaris
ENSG00000000003_TSPAN6	0.141277	0.158549	0.177787	0.187157	0.209088	0.233478	-0.050539	unclassified	ENST00000373020	ENSCSAT00000008471	ENSBTAT00000063874	ENSECAT00000008969	ENSOART00000002464	XM_005700118.3	ENSCAFT00000027757
ENSG00000000005_TNMD	0.072099	0.0821007	0.0931722	0.11689	0.134518	0.152958	-0.0524173	unclassified	ENST00000373031	ENSCSAT00000008475	ENSBTAT00000028045	ENSECAT00000020288	ENSOART00000002520	XM_005700117.2	ENSCAFT00000027750
ENSG00000000457_SCYL3	0.269288	0.282397	0.296948	0.309544	0.324748	0.339586	-0.04235099999999997	unclassified	ENST00000367770	ENSCSAT00000009535	ENSBTAT00000019684	ENSECAT00000023819	ENSOART00000012454	XM_018060290.1	ENSCAFT00000024012
ENSG00000000460_C1orf112	0.295736	0.309343	0.324155	0.354259	0.368951	0.384093	-0.059607999999999994	unclassified	ENST00000359326	ENSCSAT00000009391	ENSBTAT00000019683	ENSECAT00000009420	ENSOART00000012157	XM_005690629.3	ENSCAFT00000024057
ENSG00000000938_FGR	0.157449	0.169779	0.18322	0.159565	0.172564	0.185987	-0.002784999999999982	nearly-neutral	ENST00000374005	ENSCSAT00000017537	ENSBTAT00000015646	ENSECAT00000007886	ENSOART00000003659	XM_018056826.1	ENSCAFT00000019186
ENSG00000001036_FUCA2	0.243132	0.258806	0.276482	0.217877	0.232719	0.248454	0.02608699999999997	unclassified	ENST00000002165	ENSCSAT00000015180	ENSBTAT00000002297	ENSECAT00000006645	ENSOART00000001708	XM_005684863.3	ENSCAFT00000000476
ENSG00000001084_GCLC	0.0722169	0.0784571	0.085847	0.0919543	0.101797	0.112047	-0.023339899999999997	unclassified	ENST00000229416	ENSCSAT00000011257	ENSBTAT00000049040	ENSECAT00000018896	ENSOART00000007695	XM_013973861.2	ENSCAFT00000003595
ENSG00000001167_NFYA	0.010906	0.0142727	0.0181379	0.0235466	0.0311908	0.0402548	-0.016918100000000002	unclassified	ENST00000341376	ENSCSAT00000009274	ENSBTAT00000013080	ENSECAT00000008287	ENSOART00000000960	XM_018039157.1	ENSCAFT00000002475
ENSG00000001460_STPG1	0.280068	0.301243	0.322724	0.298853	0.319967	0.339934	-0.01872400000000002	nearly-neutral	ENST00000374409	ENSCSAT00000017593	ENSBTAT00000013576	ENSECAT00000006727	ENSOART00000007188	XM_005676845.3	ENSCAFT00000020574
ENSG00000001461_NIPAL3	0.0743024	0.0824822	0.0897327	0.0805788	0.0912147	0.102337	-0.00873249999999999	unclassified	ENST00000374399	ENSCSAT00000017592	ENSBTAT00000017344	ENSECAT00000024594	ENSOART00000007167	XM_005676843.3	ENSCAFT00000020568
ENSG00000001497_LAS1L	0.360996	0.3827	0.405654	0.348878	0.364702	0.37971	0.01799799999999996	unclassified	ENST00000374811	ENSCSAT00000010043	ENSBTAT00000002861	ENSECAT00000023498	ENSOART00000005417	XM_005700854.3	ENSCAFT00000026242
ENSG00000001561_ENPP4	0.19123	0.204633	0.218507	0.210153	0.224986	0.24059	-0.020352999999999982	unclassified	ENST00000321037	ENSCSAT00000010643	ENSBTAT00000004547	ENSECAT00000009130	ENSOART00000011424	XM_018039003.1	ENSCAFT00000003193
ENSG00000001617_SEMA3F	0.0531988	0.0577695	0.062791	0.0768705	0.0854206	0.0939484	-0.027651099999999998	unclassified	ENST00000002829	ENSCSAT00000012478	ENSBTAT00000024362	ENSECAT00000008682	ENSOART00000011593	XM_018067130.1	ENSCAFT00000017215
ENSG00000001626_CFTR	0.186961	0.194552	0.202905	0.198958	0.207709	0.216562	-0.013157000000000002	unclassified	ENST00000003084	Null	ENSBTAT00000053450	ENSECAT00000010680	ENSOART00000019745	XM_013963305.2	ENSCAFT00000005518
ENSG00000001629_ANKIB1	0.109367	0.116306	0.123755	0.132485	0.142026	0.152226	-0.025720000000000007	unclassified	ENST00000265742	ENSCSAT00000010671	ENSBTAT00000061475	ENSECAT00000010950	ENSOART00000019545	XM_018047436.1	ENSCAFT00000003120
ENSG00000001630_CYP51A1	0.11979	0.130659	0.141597	0.155161	0.168794	0.182184	-0.038135	unclassified	ENST00000003100	ENSCSAT00000010644	ENSBTAT00000002582	ENSECAT00000007052	ENSOART00000019025	XM_018047439.1	ENSCAFT00000003074
ENSG00000001631_KRIT1	0.0501301	0.0554672	0.0611192	0.076802	0.0858798	0.0957459	-0.030412600000000005	unclassified	ENST00000340022	ENSCSAT00000010663	ENSBTAT00000003566	ENSECAT00000018262	ENSOART00000019335	XM_013963122.2	ENSCAFT00000045366
ENSG00000002016_RAD52	0.30958	0.332324	0.357183	0.323289	0.343014	0.363344	-0.010689999999999977	nearly-neutral	ENST00000358495	ENSCSAT00000009762	ENSBTAT00000055617	ENSECAT00000019971	ENSOART00000013558	XM_018048672.1	ENSCAFT00000025077
ENSG00000002330_BAD	0.231421	0.260338	0.291058	0.277963	0.310514	0.342344	-0.050176	unclassified	ENST00000394532	ENSCSAT00000005199	ENSBTAT00000016610	ENSECAT00000015614	ENSOART00000006828	XM_018042791.1	ENSCAFT00000038335
ENSG00000002549_LAP3	0.120422	0.128682	0.137401	0.142562	0.15423	0.166816	-0.025548000000000015	unclassified	ENST00000226299	ENSCSAT00000014589	ENSBTAT00000007860	ENSECAT00000019690	ENSOART00000003717	XM_018049319.1	ENSCAFT00000023970
ENSG00000002587_HS3ST1	0.131659	0.155251	0.264336	0.128882	0.145794	0.161892	0.009456999999999993	nearly-neutral	ENST00000002596	ENSCSAT00000019789	ENSBTAT00000009799	ENSECAT00000002405	ENSOART00000008640	XM_018049730.1	ENSCAFT00000024502
ENSG00000002745_WNT16	0.0861254	0.0942002	0.103659	0.114138	0.127287	0.141619	-0.03308680000000001	unclassified	ENST00000222462	ENSCSAT00000008718	ENSBTAT00000003825	ENSECAT00000007025	ENSOART00000019940	XM_013963414.2	ENSCAFT00000005620
ENSG00000002746_HECW1	0.148881	0.155617	0.162773	0.161847	0.168863	0.176296	-0.013246000000000008	unclassified	ENST00000395891	ENSCSAT00000013510	ENSBTAT00000028268	ENSECAT00000011302	ENSOART00000018773	XM_018047001.1	ENSCAFT00000005626
ENSG00000002822_MAD1L1	0.133807	0.141527	0.150076	0.153478	0.163973	0.174213	-0.02244600000000002	unclassified	ENST00000399654	ENSCSAT00000015678	ENSBTAT00000003210	ENSECAT00000014907	Null	XM_018040283.1	ENSCAFT00000026097
